Product,Per Serve Size,Energy (kCal),Carbohydrates (g),Protein (g),Fiber (g),Sugar (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
2 Classic Chicken Crisper,334,787.4,56.8,41.3,5,3.72,9.3,4,0.02,12,0.5
2 Classic veg Crispers,294,684.4,54.6,17.7,12,6.32,27.6,9.5,0.03,30,0.4
2 piece Chicken Strips,58,164.44,2.68,10.17,3,0.29,12.38,11.41,0.06,30.1,477.22
6 PEPPER MEDIUM,79,161.5,21.9,7.5,1.92,2.4,2.9,1.6,0.06,63.51,
6 piece Chicken McNuggets,96,254.52,15.74,15.04,3,0.48,14.3,6.68,0.1,36.99,469.87
7 PEPPER LARGE,101,225.4,31.5,10.1,2.64,3.2,3.9,2.2,0.09,122.85,
7 up,250 ml,115,28.5,0,0,28.5,0,0,0,0,45
8 pc Bucket,736,1398.8,21.4,170.5,10,0,17,4.9,0.05,24,0.6
9 piece Chicken McNuggets,144,381.77,23.62,22.56,3,0.72,21.46,10.02,0.14,55.48,704.81
American Chicken Burger,165,446.95,38.54,20.29,3,7.48,22.94,7.28,0.15,47.63,1132.3
American Mud Pie Shake,317,398.19,64.75,5.67,1,53.4,12.77,11.38,0.2,10.89,185.73
American Triple Cheese Chicken,195,457.94,37.45,24.43,2,7.64,22.65,11.56,0.17,71.23,1396.17
American Triple Cheese Veg,207,524.69,56.24,19.54,3,7.9,23.16,14.78,0.19,48.74,1174.27
American Veg Burger,177,512.17,56.96,15.3,3,7.85,23.45,10.51,0.17,25.24,1051.24
Americano (R),347.5,23.07,4.57,0.94,0,0.24,0.05,0.05,0.05,0.48,0.57
Apple Poundcake,120,360,44,5,2,28,18,10,0.5,100,110
Asiago & Cheddar Pretzel,113,360,46,16,2,1,12,7,0,35,1070
Baa Loaf,115,380,52,5,2,29,17,3,0.2,70,270
Babycino,127,143.5,22.85,3.87,1,18.53,4.38,3.08,0.15,12.27,96.44
"Bacon, Gouda & Egg on Artisan Roll",116,350,30,17,0,0,18,7,0.1,165,820
Baked Momos (Chicken),95 g,223.71,15.72,9.94,2.95,2.85,13.45,4.85,0.095,40.46,542.52
Baked Momos (Veg),95 g,218.975,17.99,6.1,3.62,3.26,13.62,5.16,0.09,8.29,624.02
BBQ CHICKEN MEDIUM,79,185.5,28.5,8.7,3.48,3.4,4.1,2.9,0.12,116.85,
Big Eight ( 4pc smoky+ 4pc HC),25,54.89,12.36,0.26,2,7.65,0.49,0.15,0.04,0.25,113.23
Birthday Cake Pop,732,1758.2,27.9,149,17,0,30.6,11.2,0.07,43,0.6
BK Grill,43,180,24,1,0,18,9,5,0,10,80
BK veggie,118,332.1,36.7,15.3,10,3.7,13.8,6.2,0,211.14,0.8
Blueberry Bar,137,398.2,52.4,8.6,11,4.9,17.2,5.8,0,147.92,0.6
Blueberry Scone,75,250,35,4,3,4,13,6,0.3,20,180
Blueberry Yogurt and Honey Muffin,100,360,50,5,2,15,15,9,0.4,50,420
Boneless Strips 6pc,,380,53,6,1,30,16,4,0,60,260
Butter Croissant,276,717.2,41.3,54.1,20,0,37.3,16.3,0.06,49,0.9
CALZONE POCKETS - CHICKEN ,64,270,28,6,1,6,14,9,0,55,320
CALZONE POCKETS - VEG ,248,582.9,101,18.6,5.04,12.2,11.6,4.2,0.17,1171.6,
Cappuccino (L),238,593.3,91.1,20.6,9,12.2,16.3,7.5,0.3,1484.93,
cheese and bbq chicken,355,219.36,19.81,10.51,1,14.45,12.03,8.85,0.36,36.55,155.06
cheese and pepporoni,77,180.5,21.3,9.7,2.76,2.6,3.6,2.3,0.09,76.68,
cheese danish,75,210,25.6,10.2,5.16,3.6,7.4,4.3,0.17,189.44,
Cheese Lava Burger,80,300,35,6,1,12,15,10,0,50,390
Cheese Maxx (Personal),240,671.06,74.25,14.99,3,16.27,33.48,14.12,0.21,33.21,1153.99
